t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=459cf47842c3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=5dae9a94aa08 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=1be43d474079 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=907539cf5968 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=0ef3513b3179 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:54+0530 lvl=info msg="join connections" obj=join id=f343a8cd6ce0 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62503
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=364437d391a5 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=de0bd2d90db8 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=6b49dbd02074 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=3095aae3dc07 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=e60e669b76e8 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=8658fda3ff6d l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=98bdefe27761 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=e1cc2579c61f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=9e6d02465374 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=5b4da519ddd0 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
